sample_id,positive_prompt,negative_prompt
SYNTH_000052,"professional portrait photograph, high quality, photorealistic, adult woman, dark brown eyes, brown hair, dark skin, long face, square jawline, receding chin, wide nose, wide nostrils, close-set eyes, almond-shaped eyes, high-arched eyebrows, full lips, narrow mouth, deep philtrum, curly hair, widow's peak hairline, light freckles, attached earlobes, neutral expression, centered face, soft lighting, plain background","deformed, ugly, blurry, bad anatomy, bad hands, extra fingers, missing fingers, fused fingers, too many fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, disfigured, extra limbs, cloned face, malformed limbs, missing arms, missing legs, extra arms, extra legs, low quality, worst quality, jpeg artifacts, watermark, signature, text, cropped, out of frame, duplicate, morbid, gross proportions, long neck, asymmetrical eyes, crossed eyes, lazy eye, skin blemishes, acne, overexposed, underexposed, cartoon, anime, illustration, painting, drawing, sketch, 3d render, cgi, plastic skin, doll-like, distorted face, multiple people"
SYNTH_000270,"professional portrait photograph, high quality, photorealistic, adult woman, bright blue eyes, brown hair, very fair skin, wide face, short face, high cheekbones, oval face, receding chin, narrow nostrils, wide-set eyes, small eyes, almond-shaped eyes, thick eyebrows, thin lips, wide mouth, deep philtrum, wavy hair, straight hairline, light freckles, free earlobes, neutral expression, centered face, soft lighting, plain background","deformed, ugly, blurry, bad anatomy, bad hands, extra fingers, missing fingers, fused fingers, too many fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, disfigured, extra limbs, cloned face, malformed limbs, missing arms, missing legs, extra arms, extra legs, low quality, worst quality, jpeg artifacts, watermark, signature, text, cropped, out of frame, duplicate, morbid, gross proportions, long neck, asymmetrical eyes, crossed eyes, lazy eye, skin blemishes, acne, overexposed, underexposed, cartoon, anime, illustration, painting, drawing, sketch, 3d render, cgi, plastic skin, doll-like, distorted face, multiple people"
SYNTH_000601,"professional portrait photograph, high quality, photorealistic, adult woman, green eyes, brown hair, fair skin, long face, high cheekbones, square jawline, prominent chin, wide nose bridge, flat nose bridge, wide-set eyes, large eyes, round eyes, thick eyebrows, full lips, narrow mouth, deep philtrum, wavy hair, widow's peak hairline, large ears, attached earlobes, neutral expression, centered face, soft lighting, plain background","deformed, ugly, blurry, bad anatomy, bad hands, extra fingers, missing fingers, fused fingers, too many fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, disfigured, extra limbs, cloned face, malformed limbs, missing arms, missing legs, extra arms, extra legs, low quality, worst quality, jpeg artifacts, watermark, signature, text, cropped, out of frame, duplicate, morbid, gross proportions, long neck, asymmetrical eyes, crossed eyes, lazy eye, skin blemishes, acne, overexposed, underexposed, cartoon, anime, illustration, painting, drawing, sketch, 3d render, cgi, plastic skin, doll-like, distorted face, multiple people"
SYNTH_001977,"professional portrait photograph, high quality, photorealistic, adult woman, green eyes, brown hair, very fair skin, short face, high cheekbones, square jawline, prominent nose, wide nostrils, large eyes, round eyes, thick eyebrows, full lips, deep philtrum, straight hair, fine hair, light freckles, sun-sensitive skin, small ears, attached earlobes, neutral expression, centered face, soft lighting, plain background","deformed, ugly, blurry, bad anatomy, bad hands, extra fingers, missing fingers, fused fingers, too many fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, disfigured, extra limbs, cloned face, malformed limbs, missing arms, missing legs, extra arms, extra legs, low quality, worst quality, jpeg artifacts, watermark, signature, text, cropped, out of frame, duplicate, morbid, gross proportions, long neck, asymmetrical eyes, crossed eyes, lazy eye, skin blemishes, acne, overexposed, underexposed, cartoon, anime, illustration, painting, drawing, sketch, 3d render, cgi, plastic skin, doll-like, distorted face, multiple people"
SYNTH_002246,"professional portrait photograph, high quality, photorealistic, adult woman, green eyes, brown hair, very fair skin, short face, oval face, prominent chin, prominent nose, high nose bridge, hooded eyes, full lips, deep philtrum, wavy hair, thick hair, light freckles, attached earlobes, neutral expression, centered face, soft lighting, plain background","deformed, ugly, blurry, bad anatomy, bad hands, extra fingers, missing fingers, fused fingers, too many fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, disfigured, extra limbs, cloned face, malformed limbs, missing arms, missing legs, extra arms, extra legs, low quality, worst quality, jpeg artifacts, watermark, signature, text, cropped, out of frame, duplicate, morbid, gross proportions, long neck, asymmetrical eyes, crossed eyes, lazy eye, skin blemishes, acne, overexposed, underexposed, cartoon, anime, illustration, painting, drawing, sketch, 3d render, cgi, plastic skin, doll-like, distorted face, multiple people"
SYNTH_002441,"professional portrait photograph, high quality, photorealistic, adult man, bright blue eyes, black hair, very fair skin, wide face, long face, square jawline, prominent chin, prominent nose, wide nose, flat nose bridge, large eyes, round eyes, thin lips, shallow philtrum, curly hair, fine hair, light freckles, sun-sensitive skin, large ears, free earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_002551,"professional portrait photograph, high quality, photorealistic, adult woman, bright blue eyes, brown hair, fair skin, oval face, prominent chin, wide nose, narrow nose bridge, high nose bridge, wide-set eyes, large eyes, round eyes, high-arched eyebrows, full lips, curly hair, fine hair, sun-sensitive skin, large ears, free earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_002967,"professional portrait photograph, high quality, photorealistic, adult man, green eyes, brown hair, very fair skin, narrow face, high cheekbones, square jawline, prominent nose, flat nose bridge, narrow nostrils, small eyes, hooded eyes, thin lips, wide mouth, straight hair, freckles, large ears, attached earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_003286,"professional portrait photograph, high quality, photorealistic, adult woman, green eyes, brown hair, fair skin, wide face, short face, square jawline, wide nose, flat nose bridge, narrow nostrils, large eyes, hooded eyes, high-arched eyebrows, full lips, deep philtrum, wavy hair, straight hairline, light freckles, attached earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
SYNTH_003880,"professional portrait photograph, high quality, photorealistic, adult man, dark brown eyes, brown hair, very fair skin, high cheekbones, square jawline, prominent nose, wide nose, wide nose bridge, flat nose bridge, narrow nostrils, large eyes, round eyes, full lips, curly hair, widow's peak hairline, light freckles, attached earlobes, neutral expression, centered face, soft lighting, plain background","cartoon, anime, illustration, painting, 3d render, drawing, low quality, blurry, deformed, disfigured, bad anatomy, extra limbs, extra fingers, text, watermark, signature, distorted face, multiple people"
